Apsim version = 7.8
Title = STJOHNS_CS_ConvTill_MRTN_FreeDrained
 
year date sum_subsurface_drain sum_subsurface_drain_no3 sum_subsurface_drainerror sum_subsurface_drain_no3error
() (mm/dd/yyyy) () () () ()
2011 01/01/2011 1.9186631 0.1553023473033 0 0
2011 01/02/2011 2.6002772 0.2104742373996 0 0
2011 01/03/2011 2.668559066 0.216001176479238 0 0
2011 01/04/2011 2.670753944623 0.21617883653962 0 0
2011 01/05/2011 2.670753944623 0.21617883653962 0 0
2011 01/06/2011 2.670753944623 0.21617883653962 0 0
2011 01/07/2011 2.670753944623 0.21617883653962 0 0
2011 01/08/2011 2.670753944623 0.21617883653962 0 0
2011 01/09/2011 2.670753944623 0.21617883653962 0 0
2011 01/10/2011 2.670753944623 0.21617883653962 0 0
2011 01/11/2011 2.670753944623 0.21617883653962 0 0
2011 01/12/2011 2.670753944623 0.21617883653962 0 0
2011 01/13/2011 2.670753944623 0.21617883653962 0 0
2011 01/14/2011 2.670753944623 0.21617883653962 0 0
2011 01/15/2011 2.670753944623 0.21617883653962 0 0
2011 01/16/2011 2.670753944623 0.21617883653962 0 0
2011 01/17/2011 2.670753944623 0.21617883653962 0 0
2011 01/18/2011 2.670753944623 0.21617883653962 0 0
2011 01/19/2011 2.670753944623 0.21617883653962 0 0
2011 01/20/2011 2.670753944623 0.21617883653962 0 0
2011 01/21/2011 2.670753944623 0.21617883653962 0 0
2011 01/22/2011 2.670753944623 0.21617883653962 0 0
2011 01/23/2011 2.670753944623 0.21617883653962 0 0
2011 01/24/2011 2.670753944623 0.21617883653962 0 0
2011 01/25/2011 2.670753944623 0.21617883653962 0 0
2011 01/26/2011 2.670753944623 0.21617883653962 0 0
2011 01/27/2011 2.670753944623 0.21617883653962 0 0
2011 01/28/2011 2.670753944623 0.21617883653962 0 0
2011 01/29/2011 2.670753944623 0.21617883653962 0 0
2011 01/30/2011 2.670753944623 0.21617883653962 0 0
2011 01/31/2011 2.670753944623 0.21617883653962 0 0
2011 02/01/2011 2.670753944623 0.21617883653962 0 0
2011 02/02/2011 2.670753944623 0.21617883653962 0 0
2011 02/03/2011 2.670753944623 0.21617883653962 0 0
2011 02/04/2011 2.670753944623 0.21617883653962 0 0
2011 02/05/2011 2.670753944623 0.21617883653962 0 0
2011 02/06/2011 2.670753944623 0.21617883653962 0 0
2011 02/07/2011 2.670753944623 0.21617883653962 0 0
2011 02/08/2011 2.670753944623 0.21617883653962 0 0
2011 02/09/2011 2.670753944623 0.21617883653962 0 0
2011 02/10/2011 2.670753944623 0.21617883653962 0 0
2011 02/11/2011 2.670753944623 0.21617883653962 0 0
2011 02/12/2011 2.670753944623 0.21617883653962 0 0
2011 02/13/2011 2.670753944623 0.21617883653962 0 0
2011 02/14/2011 3.839897684623 0.300572308267779 0 0
