uniqueid,plotid,timestamp,Tile Flow (mm)
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
WATERMAN,6,2015-05-12 01:00:00-04:00,13.6737
WATERMAN,12,2015-05-12 01:00:00-04:00,11.0014
WATERMAN,4,2015-05-12 01:00:00-04:00,32.7811
WATERMAN,1,2015-05-12 01:00:00-04:00,14.9243
WATERMAN,11,2015-05-28 01:00:00-04:00,0.18035
WATERMAN,12,2015-05-28 01:00:00-04:00,0.0796954
WATERMAN,4,2015-05-28 01:00:00-04:00,0.515705
WATERMAN,1,2015-05-28 01:00:00-04:00,0.356314
WATERMAN,6,2015-05-28 01:00:00-04:00,0.356314
WATERMAN,12,2015-06-19 01:00:00-04:00,0.202072
WATERMAN,1,2015-06-19 01:00:00-04:00,0.561645
WATERMAN,6,2015-06-19 01:00:00-04:00,0.254014
WATERMAN,4,2015-06-19 01:00:00-04:00,0.792202
WATERMAN,11,2015-06-19 01:00:00-04:00,0.236588
WATERMAN,4,2015-07-16 01:00:00-04:00,8.56186
WATERMAN,11,2015-07-16 01:00:00-04:00,2.01935
WATERMAN,1,2015-07-16 01:00:00-04:00,4.58486
WATERMAN,12,2015-07-16 01:00:00-04:00,4.6046
WATERMAN,6,2015-07-16 01:00:00-04:00,3.60274
WATERMAN,1,2015-08-21 01:00:00-04:00,0.255537
WATERMAN,4,2015-08-21 01:00:00-04:00,0.416756
WATERMAN,11,2015-08-21 01:00:00-04:00,0.12393
WATERMAN,12,2015-08-21 01:00:00-04:00,0.0208378
WATERMAN,6,2015-08-21 01:00:00-04:00,0.849962
WATERMAN,11,2015-10-14 01:00:00-04:00,0.0674486
WATERMAN,12,2015-10-14 01:00:00-04:00,0.0329018
WATERMAN,6,2015-10-14 01:00:00-04:00,0.0
WATERMAN,4,2015-10-14 01:00:00-04:00,0.0
WATERMAN,1,2015-10-14 01:00:00-04:00,0.164509
WATERMAN,11,2015-12-17 00:00:00-05:00,0.0350952
WATERMAN,12,2015-12-17 00:00:00-05:00,0.0175476
WATERMAN,4,2015-12-17 00:00:00-05:00,0.298309
WATERMAN,1,2015-12-17 00:00:00-05:00,0.235918
WATERMAN,6,2015-12-17 00:00:00-05:00,0.0
