uniqueid,plotid,timestamp,Tile Flow (mm)
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
GILMORE,23.1,2011-04-28 01:00:00-05:00,6.41982
GILMORE,24.3,2011-04-28 01:00:00-05:00,0.0
GILMORE,4.1,2011-04-28 01:00:00-05:00,24.13
GILMORE,26.2,2011-04-28 01:00:00-05:00,24.13
GILMORE,7.3,2011-04-28 01:00:00-05:00,16.4933
GILMORE,17.3,2011-04-28 01:00:00-05:00,24.13
GILMORE,16.3,2011-04-28 01:00:00-05:00,24.13
GILMORE,6.2,2011-04-28 01:00:00-05:00,24.13
GILMORE,11.2,2011-04-28 01:00:00-05:00,24.13
GILMORE,4.2,2011-04-28 01:00:00-05:00,24.13
GILMORE,4.1,2011-05-05 01:00:00-05:00,0.0
GILMORE,19.3,2011-05-05 01:00:00-05:00,5.26304
GILMORE,19.2,2011-05-05 01:00:00-05:00,4.65734
GILMORE,7.3,2011-05-05 01:00:00-05:00,1.66982
GILMORE,3.2,2011-05-05 01:00:00-05:00,1.016
GILMORE,16.2,2011-05-05 01:00:00-05:00,16.8971
GILMORE,4.2,2011-05-05 01:00:00-05:00,0.0
GILMORE,3.1,2011-05-05 01:00:00-05:00,1.016
GILMORE,9.3,2011-05-05 01:00:00-05:00,3.75514
GILMORE,11.2,2011-05-05 01:00:00-05:00,4.4769
GILMORE,16.3,2011-05-05 01:00:00-05:00,1.016
GILMORE,26.2,2011-05-05 01:00:00-05:00,6.20914
GILMORE,6.2,2011-05-05 01:00:00-05:00,4.76756
GILMORE,24.3,2011-05-05 01:00:00-05:00,0.0
GILMORE,14.1,2011-05-05 01:00:00-05:00,0.0
GILMORE,23.1,2011-05-05 01:00:00-05:00,0.0370637
GILMORE,12.2,2011-05-05 01:00:00-05:00,1.24358
GILMORE,22.3,2011-05-05 01:00:00-05:00,0.845637
GILMORE,12.3,2011-05-05 01:00:00-05:00,4.28671
GILMORE,17.1,2011-05-05 01:00:00-05:00,5.40057
GILMORE,22.1,2011-05-05 01:00:00-05:00,4.84266
GILMORE,11.1,2011-05-05 01:00:00-05:00,7.09379
GILMORE,21.3,2011-05-05 01:00:00-05:00,0.0
GILMORE,17.3,2011-05-05 01:00:00-05:00,0.0
GILMORE,22.1,2011-05-10 01:00:00-05:00,1.96047
GILMORE,19.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,11.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,11.1,2011-05-10 01:00:00-05:00,0.0
GILMORE,21.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,26.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,6.2,2011-05-10 01:00:00-05:00,1.03486
GILMORE,19.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,3.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,23.1,2011-05-10 01:00:00-05:00,0.0
GILMORE,22.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,12.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,4.1,2011-05-10 01:00:00-05:00,0.0
